id,comment_id,drug_id,sentence_index,sentences,ADR,WD,EF,INF,SSI,DI,Findings,others,rating,category
1,1,lexapro.1,1,"extreme weight gain, short-term memory loss, hair loss.",1,,,,,,,0,1,ssri
2,1,lexapro.1,2,I am detoxing from Lexapro now.,,,,,,,,0,1,ssri
3,1,lexapro.1,3,I slowly cut my dosage over several months and took vitamin supplements to help.,,,,,,,,1,1,ssri
4,1,lexapro.1,4,I am now 10 days completely off and OMG is it rough.,,,,,,,,1,1,ssri
5,1,lexapro.1,5,"I have flu-like symptoms, dizziness, major mood swings, lots of anxiety, tiredness.",,1,,,,,,0,1,ssri
6,1,lexapro.1,6,I have no idea when this will end.,,,,,,,,1,1,ssri
7,1,lexapro.1,7,I have been taking lots of vitamin supplements from truehope.,,,,,,,,1,1,ssri
8,1,lexapro.1,8,com to help and it is still terrible.,,,,,,,,1,1,ssri
9,1,lexapro.1,9,I just really want to be done with this.,,,,,,,,1,1,ssri
10,1,lexapro.1,10,I would never have guessed withdrawal would be so terrible.,,1,,,,,,0,1,ssri
11,1,lexapro.1,11,I am looking to get pregnant and do not want to be on any medications.,,,,,,,,1,1,ssri
12,1,lexapro.1,12,Also neurofeedback has been more helpful than the medicine ever was.,,,,,,,,1,1,ssri
13,2,lexapro.2,1,COMPLETELY DESTROYED SEXUALLY FUNCTIONING .,1,,,,,,,0,1,ssri
14,2,lexapro.2,2,EVEN AFTER GOING OFF THE DRUG .,,,,,,,,1,1,ssri
15,2,lexapro.2,3,PROBABLY PERMANENT!,,,,,,,,1,1,ssri
16,2,lexapro.2,4,"Just TWO tablets of Lexapro 10mg completely destroyed my sexual functioning, probably for life.",1,,,,,,,0,1,ssri
17,2,lexapro.2,5,It's called PSSD: post-SSRI sexual dysfunction.,1,,,,,,,0,1,ssri
18,2,lexapro.2,6,This evil drug will not do you any good .,,,,1,,,,0,1,ssri
19,2,lexapro.2,7,it's no better than placebo at treating any mental health condition.,,,,1,,,,0,1,ssri
20,2,lexapro.2,8,"And there is a chance that it will give you PSSD, which as the name suggests persists even after you stop taking the drug, Just google 'PSSD' and you'll see what I mean, So please: NEVER take this drug, not even one tablet.",1,,,,,,,0,1,ssri
21,2,lexapro.2,9,DO NOT TRUST YOUR DOCTOR.,,,,,,,,1,1,ssri
22,2,lexapro.2,10,"IF YOUR DOCTOR TRIES TO PRESCRIBE YOU THIS DRUG OR ANY OTHER SSRI ANTIDEPRESSANT, GET UP AND WALK AWAY.",,,,,,,,1,1,ssri
